BioSample_s	Experiment_s	InsertSize_l	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMEA4385615	ERX1670461	500	4761	3351	ERR1599894	ERS1297064	Hal_L1	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385615	ERX1670462	500	4963	3505	ERR1599895	ERS1297064	Hal_L1	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385616	ERX1670463	500	5029	3561	ERR1599896	ERS1297065	Hal_L2	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385616	ERX1670464	500	5113	3638	ERR1599897	ERS1297065	Hal_L2	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385617	ERX1670465	500	4895	3464	ERR1599898	ERS1297066	Hal_L6	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385617	ERX1670466	500	4958	3523	ERR1599899	ERS1297066	Hal_L6	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385618	ERX1670467	400	12505	5156	ERR1599900	ERS1297067	Kob_L31	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385619	ERX1670468	400	9856	4157	ERR1599901	ERS1297068	Kob_L32	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385620	ERX1670469	400	11637	4839	ERR1599902	ERS1297069	Kob_L33	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
SAMEA4385621	ERX1670470	400	11953	4911	ERR1599903	ERS1297070	Kob_M26	WGS	<not provided>	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886	<not provided>	<not provided>	<not provided>
