DRR014004	DRX012541
DRR032278	DRX026611
DRR032279	DRX026611
DRR032280	DRX026611
DRR032281	DRX026611
DRR032282	DRX026611
DRR032283	DRX026611
DRR032284	DRX026611
DRR032285	DRX026611
DRR032276	DRX026609
DRR014002	DRX012539
DRR014000	DRX012537
DRR014006	DRX012543
DRR032297	DRX026613
DRR032298	DRX026613
DRR032299	DRX026613
DRR032300	DRX026613
DRR032301	DRX026613
DRR032294	DRX026613
DRR032296	DRX026613
DRR032295	DRX026613
DRR032318	DRX026616
DRR032319	DRX026616
DRR032320	DRX026616
DRR032321	DRX026616
DRR032322	DRX026616
DRR032323	DRX026616
DRR032324	DRX026616
DRR032325	DRX026616
DRR014009	DRX012546
DRR014011	DRX012548
DRR032334	DRX026618
DRR032335	DRX026618
DRR032336	DRX026618
DRR032337	DRX026618
DRR032338	DRX026618
DRR032339	DRX026618
DRR032340	DRX026618
DRR032341	DRX026618
DRR014008	DRX012545
DRR014012	DRX012549
DRR014005	DRX012542
DRR014015	DRX012552
DRR014016	DRX012553
DRR014017	DRX012554
DRR014003	DRX012540
DRR014007	DRX012544
DRR032315	DRX026615
DRR032316	DRX026615
DRR032314	DRX026615
DRR032311	DRX026615
DRR032313	DRX026615
DRR032312	DRX026615
DRR032317	DRX026615
DRR032310	DRX026615
DRR032374	DRX026623
DRR032376	DRX026623
DRR032381	DRX026623
DRR032377	DRX026623
DRR032380	DRX026623
DRR032378	DRX026623
DRR032375	DRX026623
DRR032379	DRX026623
DRR032366	DRX026622
DRR032370	DRX026622
DRR032373	DRX026622
DRR032367	DRX026622
DRR032371	DRX026622
DRR032369	DRX026622
DRR032372	DRX026622
DRR032368	DRX026622
DRR032385	DRX026624
DRR032388	DRX026624
DRR032384	DRX026624
DRR032389	DRX026624
DRR032383	DRX026624
DRR032386	DRX026624
DRR032382	DRX026624
DRR032387	DRX026624
DRR032288	DRX026612
DRR032286	DRX026612
DRR032290	DRX026612
DRR032292	DRX026612
DRR032289	DRX026612
DRR032287	DRX026612
DRR032291	DRX026612
DRR032293	DRX026612
DRR032308	DRX026614
DRR032304	DRX026614
DRR032306	DRX026614
DRR032309	DRX026614
DRR032307	DRX026614
DRR032303	DRX026614
DRR032305	DRX026614
DRR032302	DRX026614
DRR032345	DRX026619
DRR032343	DRX026619
DRR032344	DRX026619
DRR032348	DRX026619
DRR032347	DRX026619
DRR032349	DRX026619
DRR032346	DRX026619
DRR032342	DRX026619
DRR032274	DRX026607
DRR032277	DRX026610
DRR014013	DRX012550
DRR014014	DRX012551
DRR014001	DRX012538
DRR014010	DRX012547
DRR014019	DRX012556
DRR014018	DRX012555
DRR032401	DRX026626
DRR032402	DRX026626
DRR032400	DRX026626
DRR032399	DRX026626
DRR032398	DRX026626
DRR032404	DRX026626
DRR032405	DRX026626
DRR032403	DRX026626
DRR032329	DRX026617
DRR032326	DRX026617
DRR032328	DRX026617
DRR032327	DRX026617
DRR032330	DRX026617
DRR032332	DRX026617
DRR032331	DRX026617
DRR032333	DRX026617
DRR032364	DRX026621
DRR032360	DRX026621
DRR032359	DRX026621
DRR032363	DRX026621
DRR032358	DRX026621
DRR032365	DRX026621
DRR032362	DRX026621
DRR032361	DRX026621
DRR032396	DRX026625
DRR032391	DRX026625
DRR032397	DRX026625
DRR032393	DRX026625
DRR032395	DRX026625
DRR032394	DRX026625
DRR032390	DRX026625
DRR032392	DRX026625
DRR032356	DRX026620
DRR032354	DRX026620
DRR032350	DRX026620
DRR032357	DRX026620
DRR032352	DRX026620
DRR032351	DRX026620
DRR032353	DRX026620
DRR032355	DRX026620
DRR032275	DRX026608
