,Ca_L,Ca_R,G1_L,G1_R,LW,No_L,No_R,PS_M,Us_L,Us_R
0,13.702866248311395,13.94268447806466,14.70121778348606,14.828786573549202,16.103855680384896,14.464717947311781,14.72438998962412,17.083067332678716,14.549029133513656,14.720906302111178
1,13.996556471309772,13.995379071537725,15.432161765957579,15.428355320025934,16.628286467825887,14.514821959607525,15.388063030609306,17.64821737892048,15.315199404873137,14.570861134954107
2,12.917041014870014,13.223026824094084,14.528915418550655,14.314122916839125,14.89576552590466,13.76614901186725,13.892172845032364,16.06312719018456,14.321703020102838,13.508055197079681
3,11.58061990892638,12.226034183890771,13.046805705180999,13.19430563737915,13.378249175887374,12.303298123825899,12.961187285693052,14.546517727446798,13.573763704640584,12.421543378698768
4,10.834124135513058,11.521546034685626,12.334685239229936,12.413829274314859,12.261044787737227,11.688486822622643,12.29591990884105,13.48562402666645,12.78680146512394,11.425517845424544
5,10.659021650553507,11.352711645242398,12.75823360271889,13.038770581434745,12.181226313350221,12.232572068376134,12.564905832277907,13.2262752103741,12.743483098410799,11.358087015902129
6,10.78207222039679,10.888574528630063,12.359019723851562,12.096958930631667,10.67720111560326,11.607566304088119,12.447187207734858,11.083019616011137,11.818584956990225,10.955267625313068
7,10.964217191008707,10.898639307848132,12.320119036498431,11.869786088680337,9.65955632022889,11.600468826662869,12.196691866117506,9.657110405384952,11.694016530050085,10.91836058020461
8,10.878241346961085,11.132785528805066,12.047011473761636,11.927317224218678,9.225046878131526,11.372184189528207,11.762072952149957,9.207068566126724,11.229373019127856,10.557577157463042
9,11.11239650149254,11.536250221833754,12.31318336234668,12.003015073436094,9.718816859457466,11.30656786710211,11.683290556311288,9.740212730562575,11.486938539439372,10.858077658535937
10,11.440312201184264,11.549586354840189,12.723109090391484,12.2631224041151,9.797864631812326,11.521779749313083,12.168062024574432,9.521827629439969,11.77347073855669,11.0130609678715
11,10.445645232828735,10.782634326497359,11.302857334306728,11.080074514994449,9.046376673450107,10.541263657119222,10.933432235122615,8.490652598560159,10.23334896188809,10.321140666416833
12,9.745248603746605,9.964279002855086,10.38414181454563,9.95737540189443,8.289138091088223,9.669330646490488,10.279921429006198,7.774598711816543,9.51720194626547,9.708471304369569
13,9.508925319773867,9.168863806822271,9.708593934398271,9.2480221243611,8.070008434713232,9.169678659282123,9.362557864438866,7.4576195146651525,9.063343402899488,9.296200072977673
14,9.372263501916178,8.906779953687991,9.25537328192288,8.865302421237189,8.348586309480806,8.701956469400857,8.874418198560528,7.199605204448139,8.854023036004595,9.032864714400976
15,8.945215709847313,8.660217145544806,8.433695679399463,7.85476415230297,7.724026415308411,7.995700474868872,7.995209009871677,6.832504587261109,8.230380700105076,8.856171384902765
16,8.221973624458537,8.389372585272865,7.679584483367279,7.360587525372725,7.515905990843302,7.235548098211246,7.144376099616472,6.414156139013369,8.027024518002683,8.247308567916729
17,7.67435355139141,7.799930758625198,6.675786827750591,6.533730066868382,6.848773653595524,5.9364720688454105,6.320407983888492,5.6481307028011205,7.611390255495052,7.632336174042608
18,6.8690689948635155,6.727748197758595,5.2475078331073055,4.894264408469606,6.315163390007551,4.597558119782485,5.080823360814904,5.229372700056,7.0586236541144025,6.792916877014995
19,6.762480199849325,6.621550755653164,5.345303335774356,4.928469197608106,6.55744644400998,4.723257776030967,5.27549739179951,5.121107471623482,7.128964277498875,6.787936649431967
20,6.2765221465168315,6.1517253984547855,4.579482693999262,4.262666715101673,6.01225169658808,3.8998001253753345,4.546009719638322,4.688768148403398,6.419718173303091,6.252092506173903
21,7.09891767011069,7.120091569469185,5.820210226078957,5.5051715794335125,6.741767317858351,5.055327117765919,5.41539294422121,5.8780835715542965,7.728347972188272,6.989886864809003
22,7.827525038219629,8.399741652825838,6.846614389377419,6.736091394839018,7.322839379570221,5.917690100215677,6.4546789733420304,6.667979405964622,8.60366547625815,7.860268010732005
23,8.386446886051246,9.162344917288705,7.656297512597533,7.555465332516248,7.973657131522379,6.885351681893796,7.382771586714737,7.690004320698108,9.191965888475723,8.370732569333114
24,8.33929120950258,9.475904458369591,7.99348499484359,7.956811326639049,7.865727985831482,7.1987280748549525,8.311499367119882,8.00161353419031,9.149059498128302,8.723015199560678
25,8.959367499560836,10.059303237207688,9.230561569812801,8.818033078968929,8.622493540518459,8.066466839449166,9.183525642804655,8.504053148772872,9.593073059443945,9.184354727740033
26,8.34320503325135,9.351690180694105,8.973805750792225,8.453408100141383,8.081723293429324,7.739434472477112,8.732220877916298,8.177080873972093,8.85019262316169,8.655887125023629
27,7.642693031853393,8.712710636273432,8.424067518858093,7.973161382747549,7.555132115554829,7.6443258833750605,8.186814540850044,7.881666690206284,8.064445333205292,8.103436977300186
28,6.92038846503025,8.028673538761495,8.190176486833545,7.838919316895068,6.915734180457002,7.378943219009709,7.876835966121869,7.224620526422005,7.266953811518627,7.527269088327364
29,5.89256235636348,6.756256741194348,6.895989242594265,6.671928013107684,5.513628946192162,6.213337107594014,6.655392016353344,6.11056776179349,5.8769900909203585,6.295931991820954
30,4.910623132909638,5.7448125869661455,5.9172734179852995,5.727667525629369,4.710116291783116,5.535734754718745,5.607853922237414,5.351467691278053,5.115818291076545,5.3938470760999255
31,3.7383399758509603,4.421389432042264,4.428983116179005,4.3022270897010975,3.5721064946759262,4.166123392711468,4.544116238630822,3.8283074528320302,3.5640175814420467,4.276054035123718
32,2.640057103409731,2.851457039902297,3.2827720507709905,3.047685473085922,2.7605532850504715,3.0178990863574184,3.467485255622174,2.894317444890066,2.414875412032103,3.080425426235494
33,1.6224912366318571,1.8768362052128302,2.2972637966480005,2.029056110333418,1.7445182736794904,1.898158533259404,2.336048956515839,1.550388490252351,1.4238048198689874,2.0127995764162057
34,1.1474312966347984,1.2707827315328761,1.7140776241302238,1.3427458670990562,1.1015384154616594,1.3658276765983663,1.2493658960684633,0.9405452507057801,0.9772139918410255,1.227014671063808
35,0.0,0.0,0.0,0.0024085491718258295,0.025371339182480565,0.0,0.001062208679687455,0.02042269934877551,0.0,0.0011676470001615244
36,0.0,0.0,0.0,0.0024085491718258295,0.018748029115135893,0.0,0.0,0.010392654032415646,0.0,0.0
37,0.0,0.0,0.0,0.0024085491718258295,0.018748029115135893,0.0,0.0,0.010392654032415646,0.0,0.0
38,0.0,0.0,0.0,0.0,0.019989195211388304,0.0,0.0,0.010392654032415646,0.0,0.0
39,0.0,0.0,0.0,0.0,0.016394712468606253,0.0,0.0,0.010392654032415646,0.0,0.0
40,0.0,0.0,0.0,0.0,0.016394712468606253,0.0,0.0,0.010392654032415646,0.0,0.0
41,0.0,0.0,0.005122576438466985,0.0,0.013944581787873713,0.0,0.0,0.010392654032415646,0.0,0.0
42,0.0,0.0,0.005122576438466985,0.0,0.012005416442461121,0.0,0.0,0.010392654032415646,0.0,0.0
43,0.0,0.0,0.005122576438466985,0.0,0.010144190264052997,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.005122576438466985,0.0,0.013898741309824166,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.005122576438466985,0.0,0.010144190264052997,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.005122576438466985,0.0,0.01563368194556878,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.005122576438466985,0.0,0.01563368194556878,0.0,0.0,0.007709280298579191,0.0,0.0
48,0.0,0.0,0.005122576438466985,0.0,0.00924404272728695,0.0,0.0,0.017705078662329277,0.0,0.0
49,0.0,0.0,0.005122576438466985,0.0,0.00924404272728695,0.0,0.0,0.017705078662329277,0.0,0.0
50,0.0,0.0,0.005122576438466985,0.0,0.00924404272728695,0.0,0.0,0.017705078662329277,0.0,0.0
51,0.0,0.0,0.0,0.0,0.00924404272728695,0.0,0.0,0.017705078662329277,0.0,0.0
52,0.0,0.0,0.0,0.0024085491718258295,0.01299859377305812,0.0,0.0,0.017705078662329277,0.0,0.0
53,0.0,0.0,0.0,0.0024085491718258295,0.01299859377305812,0.0,0.0,0.017705078662329277,0.0,0.0
54,0.0,0.0,0.0,0.0024085491718258295,0.00924404272728695,0.0,0.0,0.029664640015932144,0.0,0.0
55,0.0,0.0,0.0,0.0024085491718258295,0.01605695485088228,0.0,0.0,0.03806135386993684,0.005975874590536524,0.0
56,0.0,0.0,0.0,0.0024085491718258295,0.010567463169366497,0.0,0.0,0.048454007902352485,0.005975874590536524,0.0
57,0.0,0.0,0.0,0.0024085491718258295,0.010567463169366497,0.0,0.0,0.0407447276037733,0.005975874590536524,0.0
58,0.0,0.0,0.0,0.0024085491718258295,0.010567463169366497,0.0,0.0,0.03074892924002321,0.005975874590536524,0.0
59,0.0,0.0,0.0,0.0024085491718258295,0.010567463169366497,0.0,0.0,0.03074892924002321,0.005975874590536524,0.0
60,0.0,0.0,0.0,0.0024085491718258295,0.010567463169366497,0.0,0.0,0.03074892924002321,0.005975874590536524,0.0
61,0.0,0.0,0.0,0.0024085491718258295,0.01365068882365272,0.0,0.0,0.03074892924002321,0.005975874590536524,0.0
62,0.0,0.0,0.0,0.0,0.013202551341877158,0.0,0.0,0.03074892924002321,0.005975874590536524,0.0
63,0.0,0.0,0.0,0.0,0.015708416146049283,0.0,0.0,0.051171628588798715,0.005975874590536524,0.0
64,0.0,0.0,0.0,0.0,0.015708416146049283,0.0,0.0,0.039212067235195845,0.005975874590536524,0.0
65,0.0,0.0,0.0,0.0,0.008895504022453954,0.0,0.0,0.030815353381191155,0.0,0.0
66,0.0,0.0,0.0,0.014480853172749754,0.008895504022453954,0.0,0.0,0.02042269934877551,0.0,0.0
67,0.0,0.0,0.0,0.014480853172749754,0.01193789225085559,0.0,0.0,0.02042269934877551,0.0,0.0
68,0.0,0.0,0.0,0.014480853172749754,0.012952664780944787,0.0,0.0,0.02042269934877551,0.0,0.0
69,0.0,0.0,0.0,0.014480853172749754,0.015297916850484265,0.0,0.0,0.02042269934877551,0.0,0.0
70,0.0,0.0,0.0,0.014480853172749754,0.018281543727827924,0.0,0.0,0.02042269934877551,0.0,0.0
71,0.0,0.0,0.0,0.014480853172749754,0.01850473163753731,0.0,0.0,0.02042269934877551,0.0,0.0
72,0.0,0.0,0.0,0.014480853172749754,0.015198318073541701,0.0,0.0,0.02042269934877551,0.0,0.0
73,0.0,0.0,0.0,0.014480853172749754,0.012692453269369576,0.0,0.0,0.002723389787885791,0.0,0.0
74,0.0,0.0,0.0,0.014480853172749754,0.01597697005479568,0.0,0.0,0.009963621175191917,0.0,0.0
75,0.0,0.0,0.0,0.014480853172749754,0.019570663532639223,0.0,0.0,0.009963621175191917,0.0,0.0
76,0.0,0.0,0.0,0.0,0.024612272323444494,0.0,0.0,0.009963621175191917,0.0,0.0
77,0.0,0.0,0.0,0.0,0.023777036538452742,0.0,0.0,0.009963621175191917,0.0,0.0
78,0.0,0.0,0.0,0.0,0.025533650910990992,0.0,0.0,0.009963621175191917,0.0,0.0
79,0.0,0.0,0.0,0.0,0.025694263645623636,0.0,0.0,0.009963621175191917,0.0,0.0
80,0.0,0.0,0.0,0.0,0.022710636768279977,0.0,0.0,0.009963621175191917,0.0,0.0
81,0.0,0.0,0.0,0.0,0.019404223204284372,0.0,0.0,0.019263000938704374,0.0,0.0
82,0.0,0.0,0.0,0.0,0.022487448858570597,0.004300678076978903,0.0,0.01999366649155178,0.0,0.0
83,0.0,0.0,0.0,0.0,0.022487448858570597,0.004300678076978903,0.0,0.017270276703665988,0.0,0.0
84,0.009034130462375261,0.0,0.0,0.0,0.02483428081515074,0.004300678076978903,0.0,0.010030045316359863,0.0,0.0
85,0.032876546734009686,0.011289404625904265,0.01862222002285042,0.026242374849022487,0.03131885945381731,0.018773639795399817,0.007530113903337281,0.010030045316359863,0.009898293305809089,0.010119607334733213
86,0.032876546734009686,0.011289404625904265,0.01862222002285042,0.026242374849022487,0.028766520336030697,0.018773639795399817,0.007530113903337281,0.010030045316359863,0.009898293305809089,0.010119607334733213
87,0.032876546734009686,0.011289404625904265,0.01862222002285042,0.026242374849022487,0.026559367892620814,0.018773639795399817,0.007530113903337281,0.010030045316359863,0.009898293305809089,0.010119607334733213
88,0.032876546734009686,0.011289404625904265,0.01862222002285042,0.026242374849022487,0.026660965328122673,0.018773639795399817,0.007530113903337281,0.010030045316359863,0.009898293305809089,0.010119607334733213
